Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
1,1A2,Dipterocarp Forest Closed,Pakwan,LANUZA,SURIGAO DEL SUR
1,2A2,Dipterocarp Forest Closed,Lydia,LA PAZ,AGUSAN DEL SUR
1,3A2,Dipterocarp Forest Closed,Hinapoyan,CARMEN,SURIGAO DEL SUR
1,4A2,Dipterocarp Forest Closed,Manyayay,LIANGA,SURIGAO DEL SUR
1,5A2,Dipterocarp Forest Closed,Ganayon,LIANGA,SURIGAO DEL SUR
1,6A2,Dipterocarp Forest Closed,Pakwan,LANUZA,SURIGAO DEL SUR
1,7A2,Dipterocarp Forest Closed,Kasapa II,LA PAZ,AGUSAN DEL SUR
1,8A2,Dipterocarp Forest Closed,Lydia,LA PAZ,AGUSAN DEL SUR
1,9A2,Dipterocarp Forest Closed,Villa Undayon,CITY OF BAYUGAN,AGUSAN DEL SUR
1,10A2,Dipterocarp Forest Closed,Pakwan,LANUZA,SURIGAO DEL SUR
1,11A2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
1,12A2,Dipterocarp Forest Closed,Jaliobong,KITCHARAO,AGUSAN DEL NORTE
1,13A2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
1,14A2,Dipterocarp Forest Closed,Hinimbangan,KITCHARAO,AGUSAN DEL NORTE
1,15A2,Dipterocarp Forest Closed,Mahaba,MARIHATAG,SURIGAO DEL SUR
1,16A2,Dipterocarp Forest Closed,New Tubigon,SIBAGAT,AGUSAN DEL SUR
1,17A2,Dipterocarp Forest Closed,Pakwan,LANUZA,SURIGAO DEL SUR
1,18A2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
1,19A2,Dipterocarp Forest Closed,Maliwanag,ESPERANZA,AGUSAN DEL SUR
1,20A2,Dipterocarp Forest Closed,San Roque,SAN MIGUEL,SURIGAO DEL SUR
1,21A2,Dipterocarp Forest Closed,Amontay,SAN FRANCISCO (ANAO-AON),SURIGAO DEL NORTE
1,22A2,Dipterocarp Forest Closed,San Pablo,JABONGA,AGUSAN DEL NORTE
1,23A2,Dipterocarp Forest Closed,Pakwan,LANUZA,SURIGAO DEL SUR
1,24A2,Dipterocarp Forest Closed,La Purisima,PROSPERIDAD (Capital),AGUSAN DEL SUR
1,25A2,Dipterocarp Forest Closed,Wasi-an,ROSARIO,AGUSAN DEL SUR
1,26A2,Dipterocarp Forest Closed,Awasian,CITY OF TANDAG (Capital),SURIGAO DEL SUR
1,27A2,Dipterocarp Forest Closed,San Vicente,ESPERANZA,AGUSAN DEL SUR
1,28A2,Dipterocarp Forest Closed,Banagbanag,SIBAGAT,AGUSAN DEL SUR
1,29A2,Dipterocarp Forest Closed,Diatagon,LIANGA,SURIGAO DEL SUR
1,30A2,Dipterocarp Forest Closed,Hinimbangan,KITCHARAO,AGUSAN DEL NORTE
1,31A2,Dipterocarp Forest Closed,Banagbanag,SIBAGAT,AGUSAN DEL SUR
1,32A2,Dipterocarp Forest Closed,Sabud,LORETO,AGUSAN DEL SUR
1,33A2,Dipterocarp Forest Closed,Diatagon,LIANGA,SURIGAO DEL SUR
1,34A2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
1,35A2,Dipterocarp Forest Closed,New Tubigon,SIBAGAT,AGUSAN DEL SUR
1,36A2,Dipterocarp Forest Closed,Casiklan,LAS NIEVES,AGUSAN DEL NORTE
1,37A2,Dipterocarp Forest Closed,Angeles,LA PAZ,AGUSAN DEL SUR
1,38A2,Dipterocarp Forest Closed,Manyayay,LIANGA,SURIGAO DEL SUR
1,39A2,Dipterocarp Forest Closed,Bolhoon,SAN MIGUEL,SURIGAO DEL SUR
1,40A2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
1,41A2,Dipterocarp Forest Closed,Pakwan,LANUZA,SURIGAO DEL SUR
1,42A2,Dipterocarp Forest Closed,Lobo,CANTILAN,SURIGAO DEL SUR
1,43A2,Dipterocarp Forest Closed,Angeles,LA PAZ,AGUSAN DEL SUR
1,44A2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
1,45A2,Dipterocarp Forest Closed,Esperanza,LORETO,DINAGAT ISLANDS
1,46A2,Dipterocarp Forest Closed,Guibonon,ESPERANZA,AGUSAN DEL SUR
1,47A2,Dipterocarp Forest Closed,San Roque,SAN MIGUEL,SURIGAO DEL SUR
1,48A2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
1,49A2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
1,50A2,Dipterocarp Forest Closed,San Martin,PROSPERIDAD (Capital),AGUSAN DEL SUR
